stamp,joint1_to_base,joint2_to_joint1,joint3_to_joint2,joint4_to_joint3,joint5_to_joint4,joint6_to_joint5,gripper_controller
2.496,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.508,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.520,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.532,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.544,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.556,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.568,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.580,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.592,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.604,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.616,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.628,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.640,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.652,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.664,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.676,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.688,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.700,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.712,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.724,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.736,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.748,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.760,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.772,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.784,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.796,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.808,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.820,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.832,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.844,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.856,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.868,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.880,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.892,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.904,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.916,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.928,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.940,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.952,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.964,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.976,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.988,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.000,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.012,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.024,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.036,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.048,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.060,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
